Symbol,OrderID,Side, Price, Qty,ExecID
AMZN,algo20240811212203,1,133.47,20836,exec20240811212204
FB,algo20240811212204,2,430.62,4865,exec20240811212204
FB,algo20240811212204,2,430.62,4865,exec20240811212205
FB,algo20240811212204,2,430.62,4867,exec20240811212207
GOOG,algo20240811212207,1,42.05,6558,exec20240811212207
INTC,algo20240811212212,2,339.13,549,exec20240811212212
INTC,algo20240811212212,2,339.13 549,exec20240811212213
PEP,algo20240811212216,1,36.21,4258,exec20240811212216
CSCO,algo20240811212221,2,233.73,3030,exec20240811212221
PYPL,algo20240811212226,1,723.61,12585,exec20240811212227
TSLA,algo20240811212227,2,503.77,2532,exec20240811212227
AVGO,algo20240811212232,2,262.99,29544,exec20240811212233
SBUX,algo20240811212235,1,75.71,372,exec20240811212235
SBUX,algo20240811212235,1,75.71,372,exec20240811212236
SBUX,algo20240811212235,1,75.71,372,exec20240811212237
SBUX,algo20240811212235,1,75.71,372,exec20240811212239
QCOM,algo20240811212239,1,75.47,9800,exec20240811212239
TMUS,algo20240811212242,1,90.74,12283,exec20240811212242
TMUS,algo20240811212242,1,90.74,12283,exec20240811212244
BAC,algo20240811212246,2,22.03,4603,exec20240811212246
BAC,algo20240811212246,2,22.03,4603,exec20240811212247
BAC,algo20240811212246,2,22.03 4605,exec20240811212249
DDD,algo20240811212249,2,8.01,5986,exec20240811212249
DDD,algo20240811212249,2,8.01,5987,exec20240811212251
MMM,algo20240811212251,1,146.98,3069,exec20240811212252
WBAI,algo20240811212252,1,4.10,9057,exec20240811212252
WBAI,algo20240811212252,1,4.10,9057,exec20240811212253
WBAI,algo20240811212252,1,4.10,9058,exec20240811212255
EGHT,algo20240811212257,1,17.03,906,exec20240811212257
EGHT,algo20240811212257,1,17.03,906,exec20240811212258
EGHT,algo20240811212257,1,17.03,906,exec20240811212259
EGHT,algo20240811212257,1,17.03,906,exec20240811212300
EGHT,algo20240811212257,1,17.03,907,exec20240811212302
AHC,algo20240811212302,2,1.40,18273,exec20240811212303
AOS,algo20240811212303,1,40.38,12633,exec20240811212303
AOS,algo20240811212303,1,40.38,12633,exec20240811212305
ATEN,algo20240811212305,1,6.45,11082,exec20240811212306
AIR,algo20240811212306,1,16.31,6198,exec20240811212306
AIR,algo20240811212306,1,16.31 6198,exec20240811212308
ABBV,algo20240811212314,1,83.60,3030,exec20240811212314
ABBV,algo20240811212314,1,83.60,3031,exec20240811212316
ANF,algo20240811212316,1,9.10,4125,exec20240811212316
ANF,algo20240811212316,1,9.10 4125,exec20240811212317
ANF,algo20240811212316,1,9.10,4125,exec20240811212318
ANF,algo20240811212316,1,9.10,4127,exec20240811212320
ABM,algo20240811212320,1,31.64,3388,exec20240811212320
ABM,algo20240811212320,1,31.64,3388,exec20240811212321
ABM,algo20240811212320,1,31.64,3388,exec20240811212322
ABM,algo20240811212320,1,31.64,3388,exec20240811212324
AAPL,algo20240811212324,2,284.65,15348,exec20240811212324
AAPL,algo20240811212324,2,284.65,15348,exec20240811212326
